chapter,verse,word
1,1,ויהי
1,1,איש
1,1,אחד
1,1,מן
1,1,הרמתים
1,1,צופים
1,1,מהר
1,1,אפרים
1,1,ושמו
1,1,אלקנה
1,1,בן
1,1,ירחם
1,1,בן
1,1,אליהוא
1,1,בן
1,1,תחו
1,1,בן
1,1,צוף
1,1,אפרתי
1,2,ולו
1,2,שתי
1,2,נשים
1,2,שם
1,2,אחת
1,2,חנה
1,2,ושם
1,2,השנית
1,2,פננה
1,2,ויהי
1,2,לפננה
1,2,ילדים
1,2,ולחנה
1,2,אין
1,2,ילדים
1,3,ועלה
1,3,האיש
1,3,ההוא
1,3,מעירו
1,3,מימים
1,3,ימימה
1,3,להשתחות
1,3,ולזבח
1,3,ליהוה
1,3,צבאות
1,3,בשלה
1,3,ושם
1,3,שני
1,3,בני
1,3,עלי
1,3,חפני
1,3,ופנחס
1,3,כהנים
1,3,ליהוה
1,4,ויהי
1,4,היום
1,4,ויזבח
1,4,אלקנה
1,4,ונתן
1,4,לפננה
1,4,אשתו
1,4,ולכל
1,4,בניה
1,4,ובנותיה
1,4,מנות
1,5,ולחנה
1,5,יתן
1,5,מנה
1,5,אחת
1,5,אפים
1,5,כי
1,5,את
1,5,חנה
1,5,אהב
1,5,ויהוה
1,5,סגר
1,5,רחמה
1,6,וכעסתה
1,6,צרתה
1,6,גם
1,6,כעס
1,6,בעבור
1,6,הרעמה
1,6,כי
1,6,סגר
1,6,יהוה
1,6,בעד
1,6,רחמה
1,7,וכן
1,7,יעשה
1,7,שנה
1,7,בשנה
1,7,מדי
1,7,עלתה
1,7,בבית
1,7,יהוה
1,7,כן
1,7,תכעסנה
1,7,ותבכה
1,7,ולא
1,7,תאכל
1,8,ויאמר
1,8,לה
1,8,אלקנה
1,8,אישה
1,8,חנה
1,8,למה
1,8,תבכי
1,8,ולמה
1,8,לא
1,8,תאכלי
1,8,ולמה
1,8,ירע
1,8,לבבך
1,8,הלוא
1,8,אנכי
1,8,טוב
1,8,לך
1,8,מעשרה
1,8,בנים
1,9,ותקם
1,9,חנה
1,9,אחרי
1,9,אכלה
1,9,בשלה
1,9,ואחרי
1,9,שתה
1,9,ועלי
1,9,הכהן
1,9,ישב
1,9,על
1,9,הכסא
1,9,על
1,9,מזוזת
1,9,היכל
1,9,יהוה
1,10,והיא
1,10,מרת
1,10,נפש
1,10,ותתפלל
1,10,על
1,10,יהוה
1,10,ובכה
1,10,תבכה
1,11,ותדר
1,11,נדר
1,11,ותאמר
1,11,יהוה
1,11,צבאות
1,11,אם
1,11,ראה
1,11,תראה
1,11,בעני
1,11,אמתך
1,11,וזכרתני
1,11,ולא
1,11,תשכח
1,11,את
1,11,אמתך
1,11,ונתתה
1,11,לאמתך
1,11,זרע
1,11,אנשים
1,11,ונתתיו
1,11,ליהוה
1,11,כל
1,11,ימי
1,11,חייו
1,11,ומורה
1,11,לא
1,11,יעלה
1,11,על
1,11,ראשו
1,12,והיה
1,12,כי
1,12,הרבתה
1,12,להתפלל
1,12,לפני
1,12,יהוה
1,12,ועלי
1,12,שמר
1,12,את
1,12,פיה
1,13,וחנה
1,13,היא
1,13,מדברת
1,13,על
1,13,לבה
1,13,רק
1,13,שפתיה
1,13,נעות
1,13,וקולה
1,13,לא
1,13,ישמע
1,13,ויחשבה
1,13,עלי
1,13,לשכרה
1,14,ויאמר
1,14,אליה
1,14,עלי
1,14,עד
1,14,מתי
1,14,תשתכרין
1,14,הסירי
1,14,את
1,14,יינך
1,14,מעליך
1,15,ותען
1,15,חנה
1,15,ותאמר
1,15,לא
1,15,אדני
1,15,אשה
1,15,קשת
1,15,רוח
1,15,אנכי
1,15,ויין
1,15,ושכר
1,15,לא
1,15,שתיתי
1,15,ואשפך
1,15,את
1,15,נפשי
1,15,לפני
1,15,יהוה
1,16,אל
1,16,תתן
1,16,את
1,16,אמתך
1,16,לפני
1,16,בת
1,16,בליעל
1,16,כי
1,16,מרב
1,16,שיחי
1,16,וכעסי
1,16,דברתי
1,16,עד
1,16,הנה
1,17,ויען
1,17,עלי
1,17,ויאמר
1,17,לכי
1,17,לשלום
1,17,ואלהי
1,17,ישראל
1,17,יתן
1,17,את
1,17,שלתך
1,17,אשר
1,17,שאלת
1,17,מעמו
1,18,ותאמר
1,18,תמצא
1,18,שפחתך
1,18,חן
1,18,בעיניך
1,18,ותלך
1,18,האשה
1,18,לדרכה
1,18,ותאכל
1,18,ופניה
1,18,לא
1,18,היו
1,18,לה
1,18,עוד
1,19,וישכמו
1,19,בבקר
1,19,וישתחוו
1,19,לפני
1,19,יהוה
1,19,וישבו
1,19,ויבאו
1,19,אל
1,19,ביתם
1,19,הרמתה
1,19,וידע
1,19,אלקנה
1,19,את
1,19,חנה
1,19,אשתו
1,19,ויזכרה
1,19,יהוה
1,20,ויהי
1,20,לתקפות
1,20,הימים
1,20,ותהר
1,20,חנה
1,20,ותלד
1,20,בן
1,20,ותקרא
1,20,את
1,20,שמו
1,20,שמואל
1,20,כי
1,20,מיהוה
1,20,שאלתיו
1,21,ויעל
1,21,האיש
1,21,אלקנה
1,21,וכל
1,21,ביתו
1,21,לזבח
1,21,ליהוה
1,21,את
1,21,זבח
1,21,הימים
1,21,ואת
1,21,נדרו
1,22,וחנה
1,22,לא
1,22,עלתה
1,22,כי
1,22,אמרה
1,22,לאישה
1,22,עד
1,22,יגמל
1,22,הנער
1,22,והבאתיו
1,22,ונראה
1,22,את
1,22,פני
1,22,יהוה
1,22,וישב
1,22,שם
1,22,עד
1,22,עולם
1,23,ויאמר
1,23,לה
